state,percent_fair_or_poor_health,average_number_of_mentally_unhealthy_days,percent_smokers,percent_adults_with_obesity,food_environment_index,percent_excessive_drinking,num_driving_deaths,num_uninsured,num_primary_care_physicians,num_dentists,dentist_rate,num_mental_health_providers,mental_health_provider_rate,preventable_hospitalization_rate,percent_some_college,percent_children_in_poverty,num_households_CHR,num_associations,annual_average_violent_crimes,injury_death_rate,percent_severe_housing_problems,severe_housing_cost_burden,inadequate_facilities,num_deaths_3,infant_mortality_rate,num_food_insecure,num_limited_access,num_drug_overdose_deaths,drug_overdose_mortality_rate,num_uninsured_2,percent_uninsured_2,num_uninsured_3,other_primary_care_provider_rate,percent_disconnected_youth,median_household_income,segregation_index_2,num_deaths_5,firearm_fatalities_rate,num_homeowners,num_households_with_severe_cost_burden,percent_severe_housing_cost_burden,percent_65_and_over,num_black,num_american_indian_alaska_native,percent_american_indian_alaska_native,num_asian,num_native_hawaiian_other_pacific_islander,num_not_proficient_in_english,num_minorities,num_institutionalized_in_group_quarters,percentile_rank_age_65_and_older,percentile_rank_age_17_and_younger,percentile_rank_minorities,percentile_rank_multi_unit_housing,percentile_rank_mobile_homes,percentile_rank_institutionalized_in_group_quarters,percentile_rank_housing_and_transportation,percentile_rank_social_vulnerability,region
Alabama,23.81642921595522,4.966113642055224,19.98923140641791,37.43134328358209,6.832835820895522,13.53852286337612,69.46268656716418,6538.044776119403,48.61538461538462,36.796875,31.571202343750002,76.07692307692307,62.93782230769231,6159.985074626866,51.99408600535821,29.24328358208955,16263.746268656716,86.97014925373135,343.93939393939394,88.66039768620895,13.807712033771642,11.849587645941792,1.0169838498432835,53.32142857142857,8.298313053497369,11431.492537313432,5651.092539869642,59.10526315789474,16.071850121671055,6078.776119402985,14.979716275159701,512.6865671641791,61.580805522388054,10.269195110502778,43479.82089552239,32.78245992485821,70.83333333333333,20.44252071699219,19033.17910447761,3329.2985074626868,11.96802399462388,18.620979073582088,19330.97014925373,513.0597014925373,0.8433587351731343,1092.044776119403,77.71641791044776,724.1343283582089,24430.283582089553,1766.2835820895523,0.47022089552238805,0.4911074626865672,0.6891268656716418,0.41577014925373135,0.7547537313432836,0.4361835820895522,0.5355074626865671,0.717334328358209,Southeast
Alaska,16.914579118689655,3.610430807227586,20.806449402965516,34.53103448275862,6.179310344827586,20.96857386113793,18.7,3266.448275862069,26.92,26.32142857142857,69.06327892857142,113.89285714285714,425.49868107142856,2924.3125,56.09067924637931,18.020689655172415,6348.758620689655,26.17241379310345,285.6666666666667,128.31153117152172,26.954196840137932,9.072937952244827,10.665308706989656,42.36363636363636,7.211631797116667,3353.103448275862,2241.1911442203104,66.8,19.9568409146,2712.2413793103447,21.658972752931035,598.3103448275862,140.33955344827586,15.279745700133333,64439.379310344826,29.402087290710526,63.92857142857143,29.498023705769235,5592.137931034483,1038.3793103448277,8.962433477424138,13.221707486893104,857.2758620689655,3914.344827586207,32.17726013640345,1690.5172413793102,352.44827586206895,404.17241379310343,9664.827586206897,957.2758620689655,0.09628620689655172,0.6145551724137931,0.8192344827586207,0.5651137931034483,0.23506206896551723,0.7324724137931033,0.8276172413793104,0.5361862068965517,West
Arizona,19.8759002698,4.357918672639999,16.4839110672,29.953333333333333,6.266666666666667,15.906777934533332,308.4,45731.6,310.8666666666667,294.06666666666666,51.08659733333334,636.8,95.385366,3248.266666666667,56.0536049134,26.493333333333332,107806.2,262.0,1736.0666666666666,106.19949981406667,19.104654090533334,12.159169236246667,2.9885983859466667,228.35714285714286,6.108256697684615,64537.333333333336,32146.580382706667,327.3571428571429,21.775343133642856,37900.066666666666,15.511470607033335,8669.866666666667,78.37494533333333,10.594973038641665,49105.86666666667,44.741122544266666,467.07142857142856,19.18331043302143,107071.0,23112.133333333335,12.1769967894,21.1672310632,20925.0,25344.0,15.086253900426668,17579.733333333334,1319.2666666666667,21099.2,196713.4,10184.133333333333,0.5039333333333333,0.5922066666666667,0.8407066666666666,0.53866,0.7433599999999999,0.5645399999999999,0.8259466666666667,0.8558866666666667,Southwest
Arkansas,23.303016732013333,4.763351925842667,20.38884868184,35.984,6.404,13.742365856933333,34.96,3015.72,27.027027027027028,20.260869565217394,36.9470863768116,94.72222222222223,148.79473930555557,5633.386666666666,52.111241837533335,28.393333333333334,9287.48,44.93333333333333,200.35135135135135,91.11552229154667,13.704427079894668,10.615634539970667,1.247738213756,35.64,8.135369231612499,6668.8,3399.59863157956,35.354838709677416,17.3572327756871,2636.5066666666667,11.466371821874667,419.70666666666665,72.32977613333334,11.22367032652174,41801.37333333334,29.746241260082666,45.35,19.907399034932205,10085.746666666666,1712.9466666666667,10.866140142617335,19.776845954586665,6195.2,403.0,0.9312022727826667,670.68,145.08,594.5733333333334,10540.96,1108.84,0.5448879999999999,0.5293333333333333,0.5445066666666667,0.40048533333333336,0.6731786666666667,0.4462106666666667,0.5804546666666667,0.7167479999999999,Southeast
California,16.186063267551724,3.950604461089655,12.091599764922414,27.42758620689655,7.827586206896552,19.83312739612069,306.4310344827586,47242.724137931036,540.3965517241379,576.8275862068965,73.69971637931035,2408.5689655172414,357.8850753448276,3411.9827586206898,60.46797259598276,18.28448275862069,155159.10344827586,398.2586206896552,2811.6293103448274,77.9699711873793,22.81553197243103,17.807775135189658,1.267090154210345,271.3469387755102,4.513841255016667,74447.24137931035,21137.059263267758,296.48,16.366646329946,42722.275862068964,9.649456436572414,5089.517241379311,67.54142655172414,7.471321841651111,67098.6551724138,24.958264551244643,389.3818181818182,11.9913039208717,122162.6724137931,43851.25862068965,17.871045025206897,18.006280758448277,38332.31034482759,11225.448275862069,3.1969778211568967,104544.8275862069,3446.0689655172414,62024.879310344826,410637.3103448276,14068.706896551725,0.3768258620689655,0.4934810344827586,0.7967517241379309,0.7170086206896552,0.32265,0.5289258620689655,0.6830068965517241,0.6504913793103447,West
Colorado,14.448558723453125,3.74961537505625,14.29749755565625,24.784375,7.946875,18.194754818578126,45.671875,6410.15625,75.37704918032787,75.58333333333333,54.7531885,337.5,225.07153933333333,2884.15,63.73043574984375,17.571875,19507.125,73.640625,284.2016129032258,95.20046761228814,15.982309861179688,12.976387405071875,1.268785078365625,91.78260869565217,4.5859221401769235,8810.46875,4292.254913215859,105.03703703703704,21.76817677025926,5578.671875,12.041132097740626,923.359375,82.57316796875,7.330715241907143,59599.671875,21.884669698757143,127.2,19.137964414828947,21424.140625,4560.6875,12.980196708579687,19.344671013953125,3579.453125,1423.75,2.168108666475,3088.03125,170.828125,2455.359375,25987.0,1830.359375,0.450228125,0.3859109375,0.602434375,0.5755015625,0.4098203125,0.4360375,0.43990625,0.3877484375,West
Connecticut,11.817604782125,3.54780369165,11.873619917375,26.7,8.3125,18.0577017255,174.625,22765.25,373.125,379.625,73.55516125,1755.0,358.6046775,4179.125,69.288636717375,11.85,93317.125,422.875,1316.6666666666667,72.42420341825,16.31608632575,14.897255585249999,0.563945909075,131.375,4.3375087507125,48451.25,19404.683316375,389.0,30.993980526375,20262.25,6.4620855583375,2833.375,100.09133125,5.488741054771428,77438.625,43.449410805625,247.625,5.3312887602625,113391.75,27911.75,15.083901359125,17.820988960375,45607.25,2492.875,0.5464803579499999,21724.875,480.0,16122.375,140515.0,14608.375,0.35425,0.2792625,0.5962875,0.8455125,0.0430875,0.6964,0.5232749999999999,0.31315,Northeast
Delaware,17.856453074666668,4.327972398533333,16.0504396,32.333333333333336,8.166666666666666,17.484330034,201.33333333333334,15528.666666666666,230.33333333333334,150.0,40.30205,845.0,227.65111666666667,5174.0,59.279201751666655,18.900000000000002,67054.0,329.6666666666667,1571.1666666666667,77.13497912466666,15.116067971333335,13.322384518,0.6355948055666666,156.66666666666666,6.658819007333332,36076.666666666664,13991.578901033334,340.3333333333333,33.42049358966667,13696.333333333334,7.612192682900001,2022.0,104.96254333333333,6.636855997833333,61454.333333333336,33.092785853,197.33333333333334,10.877373497866666,84769.33333333333,15855.666666666666,13.726953639666666,20.119699769,70501.33333333333,2152.6666666666665,0.7723105240666667,13194.666666666666,349.6666666666667,5983.666666666667,113710.0,8384.0,0.47269999999999995,0.4197333333333333,0.7446666666666667,0.8275666666666667,0.4567333333333334,0.5553666666666667,0.6508333333333334,0.5256333333333333,Southeast
District of Columbia,13.033793656,3.5629029718,15.965592149,23.5,8.6,27.313018199,135.0,24833.0,815.0,830.0,118.15703,3404.0,484.5862,5520.0,81.197178746,24.5,120652.0,1995.0,8217.5,78.357904643,21.461245005,18.503057059,0.7684102045,400.0,7.6606045749,76550.0,4728.9317891,833.0,40.094397518,23609.0,5.1831410155,1347.0,178.23206,6.9894645243,82533.0,60.420194905,227.0,15.78305979,117571.0,49728.0,18.39325344,12.14355368,315337.0,4296.0,0.6115694244,31025.0,975.0,15964.0,423287.0,39967.0,0.0675,0.0532,0.9494,0.9987,0.0,0.8523,0.9688,0.5918,Southeast
Florida,20.095058171895523,4.493020429804478,19.19111622446269,31.182089552238804,7.13134328358209,17.549824154417912,221.7462686567164,39044.22388059701,234.0923076923077,190.53030303030303,44.09650439393939,518.8030303030304,114.32622015151516,5659.522388059701,51.61334211058209,23.592537313432835,61258.97014925373,219.29850746268656,1342.2910447761194,89.3586178408209,16.622678670492537,14.050184330401493,0.8677691462029851,156.66071428571428,6.78818660560625,40028.50746268657,20115.857235597003,267.1666666666667,21.770230119999997,34823.46268656717,18.836401032208954,4689.268656716418,84.92082597014925,9.787103199785715,50621.10447761194,32.92189268032686,264.08196721311475,15.190031637773016,73949.26865671642,19131.731343283584,13.843953855892536,22.071108485791044,49393.82089552239,1596.7761194029852,0.749814469219403,9428.910447761195,363.4776119402985,18978.701492537315,132149.62686567163,6454.268656716418,0.5919223880597014,0.26180000000000003,0.6890641791044776,0.5956044776119402,0.6708731343283583,0.6186970149253731,0.7184626865671642,0.6833597014925373,Southeast
Georgia,20.09891599871698,4.0663246459257865,18.26263320609434,34.44779874213836,7.074050632911392,14.900191605502515,45.54430379746835,8565.899371069183,46.75342465753425,36.270270270270274,36.16498506756757,105.71532846715328,78.27004510948905,5327.96835443038,50.72461024828302,28.62830188679245,15589.415094339623,55.672955974842765,253.9967105263158,77.97722238825949,15.967256865285535,13.588682163933333,0.8972004700371069,59.25,7.7314348716716985,9245.974842767295,5545.559456108651,53.373333333333335,16.227535049316,7471.691823899371,20.101402559389935,1217.2955974842766,75.62651503184713,12.482256025814063,47507.08176100629,26.980168682435487,57.79661016949152,16.926045165495935,14716.861635220126,3243.874213836478,13.584886596496228,17.5185102897478,20841.603773584906,345.1698113207547,0.5490180433025157,2852.125786163522,78.18867924528301,1698.3647798742138,29138.87421383648,1641.6163522012578,0.3595930817610063,0.5935786163522013,0.7315905660377359,0.37171886792452835,0.7218345911949685,0.468940251572327,0.6008169811320755,0.726625786163522,Southeast
Hawaii,13.3745658346,3.38194628022,12.5207070946,22.44,7.780000000000001,19.6181388846,133.0,13256.25,250.0,247.4,58.134696,707.6,187.513644,2335.0,63.183538392799996,13.675,75816.5,186.8,869.125,61.80908370675,24.706488504,17.245941003600002,1.7484289318200001,155.75,5.001971980325,30184.0,18886.99002772,151.75,13.689034556749998,11556.75,6.160493193800001,1875.5,42.871518,11.197356128375,73140.5,32.15535692825,245.5,5.4505685356,53272.4,20519.0,17.4616020815,23.825471314399998,5586.8,1125.8,0.38707295378,106930.2,28961.2,12724.2,219477.6,8795.4,0.5171,0.35274,0.97014,0.90296,0.007000000000000001,0.5467799999999999,0.61744,0.41848,West
Idaho,15.539112304863636,3.939918129070455,14.148483205454545,30.25681818181818,7.3090909090909095,15.627244231795457,25.704545454545453,3827.2727272727275,26.325581395348834,26.558139534883722,49.23755534883721,85.02325581395348,119.72872534883722,2605.8333333333335,57.242506203113635,17.504545454545454,9895.181818181818,25.568181818181817,80.7159090909091,88.67625477200001,15.236592969277273,11.372166242854545,1.2671513879931817,38.15,5.65845202188,4636.818181818182,2515.5368474030684,48.0,18.26053555050769,3425.2272727272725,18.171861318136365,443.29545454545456,75.72959204545454,9.36796367687,52215.75,22.648875440417648,55.40625,19.955911756706666,9734.09090909091,1592.4318181818182,10.890481559406819,19.104700663236365,296.59090909090907,692.0227272727273,2.1559058846727273,632.25,88.25,735.2727272727273,6354.25,680.1363636363636,0.4726227272727273,0.6741818181818182,0.4578227272727273,0.43182954545454544,0.5270295454545454,0.34625227272727277,0.367025,0.4619772727272728,West
Illinois,15.377447465441177,4.01400899307549,15.835976645117649,30.38529411764706,8.044554455445544,19.934053435960784,50.205882352941174,8214.607843137255,107.8,102.340206185567,44.975153711340205,307.89473684210526,169.58303410526315,5222.676470588235,62.5097405535098,18.119607843137256,28452.774509803923,120.75490196078431,531.1614583333334,77.41776083315686,11.431512966050981,9.56499587839608,0.933143417690196,100.03448275862068,6.910523498294738,13394.509803921568,5673.386022738535,131.05084745762713,20.155381521701692,7439.176470588235,7.601181126415686,866.7058823529412,70.81006089108911,7.845827386615383,56225.82352941176,35.05132417437889,88.56962025316456,9.958220737913116,31265.049019607843,6804.764705882353,9.733126745713726,19.421518124127452,17560.754901960783,740.8529411764706,0.40669069753333337,7340.411764705882,82.79411764705883,5027.745098039216,47596.35294117647,2947.5392156862745,0.5420764705882353,0.4321029411764706,0.34010980392156864,0.5224235294117647,0.34771568627450977,0.5260666666666667,0.397428431372549,0.3648362745098039,Midwest
Indiana,18.171589136380433,4.526034422538044,19.932077398858695,34.006521739130434,8.027777777777777,17.13166976177174,45.27173913043478,5724.641304347826,50.14772727272727,41.38461538461538,39.86201593406594,120.59550561797752,98.27593471910112,4888.858695652174,56.86083132306521,16.726086956521737,16869.239130434784,85.45652173913044,367.40476190476187,79.85963698708696,11.302252308183697,9.269764276118478,0.9190942121065216,50.68493150684931,7.397199824140816,9358.369565217392,4991.496410940509,67.02739726027397,26.46668715987534,4697.641304347826,10.71639250748261,1110.6304347826087,65.6110220652174,8.113179816114,56036.184782608696,35.51955893736629,60.25,12.610683473284615,19138.391304347828,3048.282608695652,9.402761054318479,17.739475090293478,6903.119565217391,301.5217391304348,0.3982573081815218,1797.4782608695652,49.369565217391305,1002.0869565217391,14183.673913043478,2053.7608695652175,0.39754456521739134,0.5891956521739131,0.2639271739130435,0.5509673913043478,0.353929347826087,0.4402478260869565,0.366870652173913,0.3605,Midwest
Iowa,13.657602345060607,3.5293769217838387,15.843847157606062,34.14141414141414,8.2010101010101,20.331215481646467,17.07070707070707,1408.3232323232323,23.161616161616163,21.262626262626263,50.898215252525254,54.733333333333334,97.30648566666667,3587.373737373737,66.72361430065656,14.464646464646465,7278.151515151515,44.21212121212121,91.57978723404256,74.91250084240404,10.404581425477778,8.492308222867676,1.0696734357909092,34.766666666666666,5.54331041835,3486.7676767676767,1716.8925274642827,37.473684210526315,11.144356969347367,1202.858585858586,6.902244349841414,224.2020202020202,82.24607595959597,5.88801130306,57229.62626262626,35.34275404882666,36.81132075471698,10.035241235225714,9031.838383838383,1259.8686868686868,8.604890654887878,20.142407666737373,1203.9292929292928,168.4949494949495,0.5319984282878788,865.7373737373738,42.74747474747475,485.09090909090907,4090.7979797979797,1011.040404040404,0.6301949494949495,0.5565484848484848,0.2430979797979798,0.5778818181818183,0.17593636363636364,0.5624707070707071,0.29550909090909094,0.22612929292929293,Midwest
Kansas,15.98222582263619,3.657639138609524,16.185360831514288,34.42285714285715,7.493333333333333,16.83611373398095,19.557692307692307,2317.2,22.72727272727273,16.84158415841584,39.13365900990099,70.95061728395062,122.56361555555556,4688.466666666666,64.35914381110476,17.13142857142857,6748.92380952381,34.666666666666664,106.05555555555556,95.47779336739806,10.887363782430475,8.425808617789524,1.3261997732571429,44.0,6.6607507441500005,3515.714285714286,2248.345209978419,52.266666666666666,13.401028244053332,1987.2285714285715,13.849889267727619,361.73333333333335,108.96162817307692,6.68948097369,52188.780952380956,22.304487535742645,54.404761904761905,14.897621644335485,7103.285714285715,1135.0285714285715,8.897717316857143,20.273176242118097,1593.7238095238095,331.5904761904762,1.3312954847323808,868.847619047619,34.46666666666667,578.0285714285715,6392.847619047619,753.2285714285714,0.604692380952381,0.6025961904761904,0.4047009523809524,0.4732390476190476,0.3424342857142857,0.5215942857142858,0.3070819047619048,0.3041142857142857,Midwest
Kentucky,22.893621100641667,4.963973155002501,22.291081305466665,35.251666666666665,7.376923076923077,15.66996770545,31.705882352941174,1926.275,25.42608695652174,24.133333333333333,37.94568041666666,87.73913043478261,160.47363486956522,6654.008333333333,52.443702994491666,26.788333333333334,8307.983333333334,36.55,82.7375,101.978065299775,13.336208326576667,10.954154714287501,1.1413386102799998,29.323943661971832,7.1456012848,5462.416666666667,2070.5445300119445,51.43037974683544,32.36870091312405,1634.7166666666667,7.729146477745833,318.825,100.54535583333333,10.826028477353846,45238.51666666667,34.354842724690734,37.79381443298969,18.141516333143617,9646.925,1653.4,11.307459116683333,17.792078667108335,3044.4333333333334,111.76666666666667,0.3299805438541667,606.7166666666667,33.81666666666667,355.60833333333335,5380.358333333334,1090.95,0.4057658333333333,0.5280633333333333,0.24275166666666667,0.3618891666666667,0.6911925,0.46932666666666667,0.5644816666666667,0.617965,Southeast
Louisiana,22.369978650515627,5.043880483359375,21.79292428271875,37.325,6.7328125,18.64352157865625,59.171875,5825.03125,49.698412698412696,40.714285714285715,35.95363142857143,219.9047619047619,215.39511380952382,6966.734375,47.20869985184375,29.8546875,17148.578125,66.96875,393.3671875,85.50531515754687,13.861442401395312,11.000333415807813,0.8821170662078125,55.964285714285715,8.296085563937499,11433.125,6748.113597609531,83.62162162162163,23.318722153205407,5345.5,12.468435207871876,530.296875,73.42952578124999,14.93391010252174,45023.65625,40.78898132078125,64.03703703703704,18.86803934703158,17704.4375,3680.515625,12.18080106940625,16.41714881028125,23486.0,570.3125,0.907271212825,1316.734375,45.140625,1003.34375,29547.296875,2008.640625,0.2780609375,0.6703625,0.761934375,0.3594515625,0.7440109375,0.5522453125,0.7199375,0.7727640625,Southeast
Maine,13.674059597031249,4.18947603940625,16.12272784325,30.83125,7.8875,19.4465339888125,47.3125,6678.9375,93.0,54.0625,51.95760875,398.25,388.64753625000003,3769.9375,62.8558200606875,17.962500000000002,15641.125,90.75,101.03125,91.6058870828125,14.849962830125,12.6391453283125,1.5157675839687499,31.714285714285715,6.831501842671429,10889.375,3182.270806495625,70.125,25.6466466810625,5943.375,13.0494062355125,804.4375,119.625030625,7.199767953327273,51536.5,30.9141581579375,76.5,12.650396788875,25132.4375,4254.4375,12.30130267513125,22.3533444626875,1294.25,603.5625,0.93178327988125,1042.125,28.4375,442.5625,5207.3125,2237.8125,0.68364375,0.148075,0.166825,0.52933125,0.434525,0.54808125,0.49343125,0.3303375,Northeast
Maryland,13.9043997106125,3.9318825249166665,14.420558335608334,33.475,8.391666666666667,16.776635139125002,105.95833333333333,14746.75,221.08333333333334,194.83333333333334,68.95826166666667,650.4166666666666,230.64372333333336,4419.041666666667,64.06471009620833,14.6875,55519.75,223.91666666666666,1153.7708333333333,79.2506047195,15.874112841208335,14.300133233250001,0.7838088063374999,122.04347826086956,7.018865204152381,25853.333333333332,8153.022135434237,275.625,36.55074022245833,12805.541666666666,7.66667618455,2154.5416666666665,98.89726333333333,6.734359625344443,75031.0,34.668764205916666,131.08695652173913,10.930242245850001,60997.541666666664,12931.416666666666,14.019847304875,17.7224141755,75055.29166666667,1507.8333333333333,0.47665334287083333,16903.416666666668,281.0833333333333,7539.75,117979.66666666667,5847.125,0.3617958333333333,0.449475,0.6535458333333334,0.7866749999999999,0.149125,0.4872625,0.4369,0.35537083333333336,Southeast
Massachusetts,13.154396011428572,3.958794038242857,13.270094797750001,25.342857142857145,8.6,21.462704522357143,128.0,13027.785714285714,506.07142857142856,507.57142857142856,92.18106785714285,3100.0,660.9146978571428,4597.857142857143,70.51079107685715,12.607142857142858,97539.85714285714,460.7857142857143,1977.0384615384614,67.89875198321428,18.13097065392857,16.302161396285715,0.9544653120285714,153.41666666666666,4.288673960563636,42866.42857142857,19149.937843504285,510.0,31.64973657846154,11703.642857142857,4.062511744678572,1491.857142857143,117.33813285714287,4.380433366263636,75312.78571428571,41.26963681385714,234.92857142857142,3.9484114451166663,115789.5,29050.214285714286,16.64644150192857,18.634741008285715,35734.0,2436.5714285714284,0.5555100933642857,35179.142857142855,529.7857142857143,21109.214285714286,126580.85714285714,17899.428571428572,0.40950000000000003,0.23689285714285716,0.5610642857142857,0.7724785714285715,0.04150714285714286,0.6492642857142857,0.5662285714285714,0.33079285714285717,Northeast
Michigan,15.211250910156625,4.335976203389157,17.566229384518074,33.4289156626506,7.742682926829268,19.04446767091566,59.493975903614455,5983.78313253012,95.1219512195122,89.59036144578313,55.23947686746988,326.6829268292683,183.76636975609756,4132.939759036145,61.14026459549398,20.022891566265063,26148.9156626506,115.28915662650603,540.9382716049382,78.16487341150602,13.768210228043372,11.92411577646024,0.8817240575156626,85.62962962962963,6.0478305529432435,16210.361445783132,7586.022302415312,119.71428571428571,20.81670084930635,5265.120481927711,8.061545801521687,795.5783132530121,91.04358421686747,8.29392328859655,51601.3734939759,31.883004554332928,94.33333333333333,11.795427719231883,33459.20481927711,5947.481927710844,11.449112810812048,21.76048987219277,16573.75903614458,885.5301204819277,1.7667596786036144,4064.289156626506,49.903614457831324,1704.7590361445782,28994.265060240963,2761.3012048192772,0.6060987951807228,0.32116144578313255,0.3409807228915663,0.5500120481927712,0.3901265060240964,0.49007951807228917,0.4487168674698795,0.4403361445783132,Midwest
Minnesota,12.53154012654138,3.171345602535632,14.983851824149426,31.593103448275862,8.34367816091954,20.791467942091955,22.127906976744185,2707.390804597701,60.829268292682926,46.80232558139535,52.208911744186054,176.375,141.78968862500003,6208.620689655172,67.9729593924023,13.183908045977011,14675.379310344828,80.05747126436782,146.13793103448276,73.17609289108046,11.803053246447128,9.777126049978161,0.9472510573885058,49.0,5.450737504380952,5834.252873563219,3426.7698876231034,54.76470588235295,14.372519848864703,2241.6666666666665,6.581429954329884,509.11494252873564,81.04685476744186,5.810807599454838,60664.32183908046,32.92547415699405,60.53448275862069,9.073987193622221,17830.919540229886,2742.977011494253,9.804662356091955,19.744919122850575,4225.080459770115,880.6436781609195,2.3828584204091956,3321.551724137931,47.64367816091954,1269.3563218390805,11706.71264367816,1544.8735632183907,0.5666091954022988,0.5606103448275862,0.3283022988505747,0.7814712643678161,0.24262068965517242,0.5003747126436782,0.43144712643678157,0.2563574712643678,Midwest
Mississippi,25.15813162434146,4.720629088879268,20.342772022158538,38.234146341463415,5.9185185185185185,13.373597881103658,40.48780487804878,4296.414634146341,20.25641025641026,17.82278481012658,33.77570810126583,64.20270270270271,110.16027810810812,6384.048780487805,53.20391280371952,32.69268292682927,8694.817073170732,42.75609756097561,147.421875,95.62168259450617,15.53590448105122,12.635384325899999,1.0312264382487806,32.0,9.720979756737501,6808.292682926829,3904.891714181852,31.307692307692307,15.029294520469232,3888.060975609756,19.504629989658536,450.4634146341463,92.85219109756098,11.996395269338237,39932.71951219512,30.91953029505679,33.258620689655174,21.919325937608573,9195.341463414634,1680.4024390243903,12.852163099004878,17.141714557743903,13635.40243902439,224.67073170731706,0.7448986059987804,392.0975609756098,22.097560975609756,278.9878048780488,15598.365853658537,1150.5853658536585,0.33927439024390244,0.6823012195121951,0.8000402439024391,0.3353756097560976,0.7310536585365853,0.48692682926829267,0.6548658536585366,0.8214573170731707,Southeast
